x y
1.3979e+05 5.7429e+06
1.7587e+05 6.8459e+06
44340 1.7289e+06
0 19995
1.4179e+05 5.7435e+06
1.3762e+05 5.6263e+06
1.1801e+05 4.9118e+06
1.4573e+05 5.8056e+06
1.3868e+05 5.67e+06
1.5552e+05 6.1375e+06
1.2861e+05 5.3411e+06
1.3354e+05 5.5434e+06
45792 1.7432e+06
0 16334
1.4202e+05 5.908e+06
1.4048e+05 5.8478e+06
1.5323e+05 5.9518e+06
2.0053e+05 7.2858e+06
1.3708e+05 5.6091e+06
1.7741e+05 6.7817e+06
1.4761e+05 5.9852e+06
1.2961e+05 5.4435e+06
50985 1.8923e+06
0 18766
1.2167e+05 5.1625e+06
1.2254e+05 5.199e+06
2.2275e+05 8.0005e+06
1.904e+05 7.1604e+06
1.3433e+05 5.595e+06
1.3585e+05 5.5959e+06
1.5393e+05 6.1805e+06
1.2889e+05 5.3406e+06
43387 1.6929e+06
0 21845
1.4624e+05 5.9463e+06
1.5584e+05 6.2178e+06
2.0077e+05 7.4911e+06
1.7589e+05 6.7743e+06
1.4559e+05 5.8732e+06
1.4392e+05 5.8433e+06
1.3676e+05 5.723e+06
1.7662e+05 6.7575e+06
41707 1.6127e+06
0 18473
1.2474e+05 5.2875e+06
1.3219e+05 5.4734e+06
1.3476e+05 5.5282e+06
1.3087e+05 5.4138e+06
1.3825e+05 5.7048e+06
1.4548e+05 5.77e+06
1.4174e+05 5.7383e+06
1.3717e+05 5.6439e+06
52555 1.9468e+06
0 16944
1.2974e+05 5.4091e+06
1.2767e+05 5.3802e+06
1.5195e+05 6.0258e+06
1.5324e+05 6.0934e+06
1.3812e+05 5.6843e+06
1.3346e+05 5.5315e+06
1.53e+05 6.1275e+06
1.509e+05 6.0711e+06
36459 1.4394e+06
0 18607
1.3539e+05 5.6016e+06
1.3541e+05 5.5785e+06
1.6279e+05 6.3135e+06
1.5058e+05 5.9882e+06
1.4268e+05 5.8279e+06
1.861e+05 7.0453e+06
1.4028e+05 5.7477e+06
1.7921e+05 6.8961e+06
41221 1.6127e+06
0 17398
1.2715e+05 5.3849e+06
1.2868e+05 5.4219e+06
